iter	Passed	Remaining
0	2	259
1	4	223
2	6	212
3	7	191
4	9	189
5	11	186
6	13	182
7	15	180
8	17	177
9	19	176
10	21	173
11	23	169
12	25	168
13	27	169
14	29	169
15	31	166
16	33	162
17	35	159
18	36	156
19	38	153
20	40	151
21	42	148
22	43	146
23	45	144
24	47	142
25	49	140
26	51	138
27	52	136
28	54	133
29	56	131
30	58	129
31	60	128
32	62	126
33	64	124
34	65	122
35	67	120
36	69	118
37	71	116
38	73	114
39	75	112
40	76	110
41	77	107
42	79	105
43	81	103
44	83	101
45	84	99
46	86	97
47	88	95
48	90	93
49	91	91
50	93	90
51	95	88
52	97	86
53	99	84
54	100	82
55	102	80
56	105	79
57	107	78
58	110	76
59	112	74
60	114	73
61	116	71
62	118	69
63	120	67
64	122	66
65	124	64
66	126	62
67	127	60
68	129	58
69	131	56
70	133	54
71	135	52
72	137	50
73	139	48
74	140	46
75	142	45
76	144	43
77	146	41
78	147	39
79	149	37
80	150	35
81	152	33
82	153	31
83	154	29
84	156	27
85	158	25
86	159	23
87	161	22
88	163	20
89	165	18
90	166	16
91	167	14
92	169	12
93	170	10
94	172	9
95	173	7
96	174	5
97	176	3
98	177	1
99	179	0
